id,name,leaf,type,typeName,initial,hot,sort,code,englishName,unit,description,imgUrl,server_categoryList,server_children,server_code,server_description,server_englishName,server_hot,server_id,server_imgUrl,server_initial,server_leaf,server_name,server_parentId,server_sort,server_type,server_typeName,server_unit
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,11.0,,A,False,Alexstrasza US - Alliance,10.0,2038593555605360661,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,12.0,,A,False,Alexstrasza US - Horde,10.0,2038593555605360662,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,13.0,,A,False,Alleria US - Alliance,10.0,2038593555605360663,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,14.0,,A,False,Alleria US - Horde,10.0,2038593555605360664,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,15.0,,A,False,Altar of Storms US - Alliance,10.0,2038593555605360665,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,16.0,,A,False,Altar of Storms US - Horde,10.0,2038593555605360666,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,17.0,,A,False,Alterac Mountains US - Alliance,10.0,2038593555605360667,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,18.0,,A,False,Alterac Mountains US - Horde,10.0,2038593555605360668,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,19.0,,A,False,Aman'Thul US - Alliance,10.0,2038593555605360669,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,20.0,,A,False,Aman'Thul US - Horde,10.0,2038593555605360670,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,21.0,,A,False,Andorhal US - Alliance,10.0,2038593555605360671,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,22.0,,A,False,Andorhal US - Horde,10.0,2038593555605360672,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,23.0,,A,False,Anetheron US - Alliance,10.0,2038593555605360673,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,24.0,,A,False,Anetheron US - Horde,10.0,2038593555605360674,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,25.0,,A,False,Antonidas US - Alliance,10.0,2038593555605360675,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,26.0,,A,False,Antonidas US - Horde,10.0,2038593555605360676,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,27.0,,A,False,Anub'arak US - Alliance,10.0,2038593555605360677,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,28.0,,A,False,Anub'arak US - Horde,10.0,2038593555605360678,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,29.0,,A,False,Anvilmar US - Alliance,10.0,2038593555605360679,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,30.0,,A,False,Anvilmar US - Horde,10.0,2038593555605360680,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,31.0,,A,False,Arathor US - Alliance,10.0,2038593555605360681,server,服务器,
